"id","studio"
6968,"3rd Degree Films"
5534,Addicted2Girls
4375,All Black X
5717,BiPhoria
29718,Bizarre Entertainment
29728,Black Market XXX
2590,Blockbuster
994,Blue Bird Films
4356,BSkow
4354,Burning Angel
4616,Club Inferno Dungeon
29736,Combat Zone
4388,Dark X
3373,Deeper
4635,Devils Film
6376,Diabolic
347,Digital Playground
3418,Digital Sin
204,Dorcel Club
1052,Elegant Angel
4376,Erotica X
4611,Evil Angel
4424,Falcon Studios
8029,Fetish Force
29726,Filly Films
11094,Fisting Central
6611,Gender X Films
4404,Girlfriends Films
4777,Good Fellas
4370,Hard X
29681,Heatwave
10479,High Octane
29476,Hole Busters
4420,Hot House
780,Hustler
10576,Jacquie et Michel Elite
6569,Jules Jordan Video
4393,Lesbian X
1006,Lethal Hardcore
1174,L Factor
1030,Little Dragon Productions
10475,Monster Bang
6383,Naked Sword Originals
2425,Net Video Girls
3374,New Sensations
6616,NSFW Films
8441,Peter North
10478,Pistol Media
29433,Plain Wrapped
765,Private
4822,Raging Stallion Studios
328,Reality Junkies
4594,Rocco Siffredi
10477,SexPack
1055,Sin City
6103,Slayed
29730,Smash Pictures
263,Sweetheart Video
327,Sweet Sinner
29724,Third World Media
8250,Trenchcoatx
990,Video Art Holland
4607,White Ghetto
4628,Wicked
10015,Wicked Partners
1287,Zero Tolerance
